affiliationID,displayName,normalizedName,wiki,paperTotal,citationTotal,Latitude,Longitude,GRIDid
746986,Halmstad University,halmstad university,"http://en.wikipedia.org/wiki/Halmstad_University,_Sweden",2481,37490,56.66417,12.87861,grid.73638.39
6141010,European Institute of Oncology,european institute of oncology,http://en.wikipedia.org/wiki/European_Institute_of_Oncology,7656,287269,45.4140358,9.208186,grid.15667.33
8408910,Cardiff Metropolitan University,cardiff metropolitan university,http://en.wikipedia.org/wiki/Cardiff_Metropolitan_University,2552,40175,51.4843,-3.1649,grid.47170.35
10108838,National University of Salta,national university of salta,http://en.wikipedia.org/wiki/National_University_of_Salta,162,1231,-24.7864914,-65.3981247,grid.10821.3a
15191203,Office of Science and Technology,office of science and technology,http://en.wikipedia.org/wiki/Office_of_Science_and_Technology,587,23267,"","",""
45438204,University of Texas at San Antonio,university of texas at san antonio,http://en.wikipedia.org/wiki/University_of_Texas_at_San_Antonio,22438,522629,29.59,-98.61696,grid.215352.2
47396830,Celgene,celgene,http://en.wikipedia.org/wiki/Celgene,3304,76126,40.70987,-74.3479,grid.488233.6
49185572,Yunnan University of Finance and Economics,yunnan university of finance and economics,http://en.wikipedia.org/wiki/Yunnan_University_of_Finance_and_Economics,2038,7032,24.9266472,102.811188,grid.464506.5
51195161,EMLYON Business School,emlyon business school,http://en.wikipedia.org/wiki/EMLYON_Business_School,1389,21736,45.78611,4.76389,grid.462218.b
53298266,Belarusian State Medical University,belarusian state medical university,http://en.wikipedia.org/wiki/Belarusian_State_Medical_University,541,1664,53.86139,27.48528,grid.21354.31
55486353,Reed College,reed college,http://en.wikipedia.org/wiki/Reed_College,2092,51340,45.48,-122.63,grid.182981.b
61057504,Fujian Agriculture and Forestry University,fujian agriculture and forestry university,http://en.wikipedia.org/wiki/Fujian_Agriculture_and_Forestry_University,11950,63049,26.08778,119.235,grid.256111.0
67357951,KIIT University,kiit university,http://en.wikipedia.org/wiki/KIIT_University,3817,20131,20.35278,85.81944,grid.412122.6
72054575,Cochrane Collaboration,cochrane collaboration,http://en.wikipedia.org/wiki/Cochrane_(organisation),4118,208588,51.7791138,-1.268244,grid.420305.0
75124487,Gdańsk Medical University,gdansk medical university,http://en.wikipedia.org/wiki/Gdańsk_Medical_University,9779,162331,54.36611,18.63056,grid.11451.30
91993116,SIRRIS,sirris,http://en.wikipedia.org/wiki/SIRRIS,133,954,50.85107,4.401868,grid.423712.1
111575329,Bharathiar University,bharathiar university,http://en.wikipedia.org/wiki/Bharathiar_University,7576,89585,11.0397692,76.8788147,grid.411677.2
128193699,Slovak University of Agriculture,slovak university of agriculture,http://en.wikipedia.org/wiki/Slovak_University_of_Agriculture,2180,10154,48.31472,18.0875,grid.15227.33
134586953,Defence Medical Services,defence medical services,http://en.wikipedia.org/wiki/Defence_Medical_Services,195,2242,"","",""
137377929,East Sussex County Council,east sussex county council,http://en.wikipedia.org/wiki/East_Sussex_County_Council,2263,33180,50.87254,1.7E-4,""
138211613,Austrian Academy of Sciences,austrian academy of sciences,http://en.wikipedia.org/wiki/Austrian_Academy_of_Sciences,12728,427296,48.20872,16.37739,grid.4299.6
141988045,Saint Leo University,saint leo university,http://en.wikipedia.org/wiki/Saint_Leo_University,420,2146,28.3381042,-82.25697,grid.262960.9
142471025,Baker IDI Heart and Diabetes Institute,baker idi heart and diabetes institute,http://en.wikipedia.org/wiki/Baker_IDI_Heart_and_Diabetes_Institute,3217,113934,-37.84583,144.983337,grid.1051.5
145608581,University of Miami,university of miami,http://en.wikipedia.org/wiki/University_of_Miami,96803,2858763,25.7216434,-80.27927,grid.26790.3a
149581226,Hawaii Pacific University,hawaii pacific university,http://en.wikipedia.org/wiki/Hawaii_Pacific_University,654,9538,21.311,-157.859,grid.256872.c
157417397,Bowling Green State University,bowling green state university,http://en.wikipedia.org/wiki/Bowling_Green_State_University,16582,328066,41.38,-83.64,grid.253248.a
161103922,University of Marburg,university of marburg,http://en.wikipedia.org/wiki/University_of_Marburg,28124,717765,50.81083,8.77361,grid.10253.35
169541294,Flinders University,flinders university,http://en.wikipedia.org/wiki/Flinders_University,30361,629047,-35.02082,138.572754,grid.1014.4
173664879,Autonomous University of Baja California,autonomous university of baja california,http://en.wikipedia.org/wiki/Autonomous_University_of_Baja_California,9612,58725,32.6633568,-115.468895,grid.412852.8
177156846,South Dakota State University,south dakota state university,http://en.wikipedia.org/wiki/South_Dakota_State_University,10386,188885,44.31806,-96.78333,grid.263791.8
179863766,Bergen University College,bergen university college,http://en.wikipedia.org/wiki/Bergen_University_College,1349,34693,60.3845,5.3331,""
181934358,Saitama Prefectural University,saitama prefectural university,http://en.wikipedia.org/wiki/Saitama_Prefectural_University,541,5154,35.9299736,139.755219,grid.412379.a
