affiliationID,normalizedName,displayName,GRIDid,wiki,paperTotal,paperFamilyTotal,citationTotal,Iso3166Code,Latitude,Longitude
746986,halmstad university,Halmstad University,grid.73638.39,"http://en.wikipedia.org/wiki/Halmstad_University,_Sweden",2548,2492,39177,SE,56.66417,12.87861
6141010,european institute of oncology,European Institute of Oncology,grid.15667.33,http://en.wikipedia.org/wiki/European_Institute_of_Oncology,7874,7842,298771,IT,45.4140358,9.208186
8408910,cardiff metropolitan university,Cardiff Metropolitan University,grid.47170.35,http://en.wikipedia.org/wiki/Cardiff_Metropolitan_University,2664,2649,42481,GB,51.4843,-3.1649
10108838,national university of salta,National University of Salta,grid.10821.3a,http://en.wikipedia.org/wiki/National_University_of_Salta,165,164,1299,AR,-24.7864914,-65.3981247
23171815,zhengzhou university of light industry,Zhengzhou University of Light Industry,grid.413080.e,http://en.wikipedia.org/wiki/Zhengzhou_University_of_Light_Industry,5588,5564,34687,CN,34.79742,113.655128
45438204,university of texas at san antonio,University of Texas at San Antonio,grid.215352.2,http://en.wikipedia.org/wiki/University_of_Texas_at_San_Antonio,22833,22373,541199,US,29.59,-98.61696
47396830,celgene,Celgene,grid.488233.6,http://en.wikipedia.org/wiki/Celgene,3372,3351,80451,US,40.70987,-74.3479
49185572,yunnan university of finance and economics,Yunnan University of Finance and Economics,grid.464506.5,http://en.wikipedia.org/wiki/Yunnan_University_of_Finance_and_Economics,2089,2084,7568,CN,24.9266472,102.811188
51195161,emlyon business school,EMLYON Business School,grid.462218.b,http://en.wikipedia.org/wiki/EMLYON_Business_School,1478,1391,22919,FR,45.78611,4.76389
53298266,belarusian state medical university,Belarusian State Medical University,grid.21354.31,http://en.wikipedia.org/wiki/Belarusian_State_Medical_University,559,558,1821,BY,53.86139,27.48528
55486353,reed college,Reed College,grid.182981.b,http://en.wikipedia.org/wiki/Reed_College,2156,2090,52972,US,45.48,-122.63
57496824,national institute of technology arunachal pradesh,"National Institute of Technology, Arunachal Pradesh",grid.464634.7,"http://en.wikipedia.org/wiki/National_Institute_of_Technology,_Arunachal_Pradesh",268,268,556,IN,27.1498,93.717
60054993,graphic era university,Graphic Era University,grid.448909.8,http://en.wikipedia.org/wiki/Graphic_Era_University,1049,1048,5557,IN,30.26747,77.9959259
61057504,fujian agriculture and forestry university,Fujian Agriculture and Forestry University,grid.256111.0,http://en.wikipedia.org/wiki/Fujian_Agriculture_and_Forestry_University,12343,12310,70276,CN,26.08778,119.235
67357951,kiit university,KIIT University,grid.412122.6,http://en.wikipedia.org/wiki/KIIT_University,4001,3979,22316,IN,20.35278,85.81944
72054575,cochrane collaboration,Cochrane Collaboration,grid.420305.0,http://en.wikipedia.org/wiki/Cochrane_(organisation),4139,4073,190523,GB,51.7791138,-1.268244
75124487,gdansk medical university,Gdańsk Medical University,grid.11451.30,http://en.wikipedia.org/wiki/Gdańsk_Medical_University,10046,9968,174658,PL,54.36611,18.63056
80849659,national institute for space research,National Institute for Space Research,grid.419222.e,http://en.wikipedia.org/wiki/National_Institute_for_Space_Research,7127,7019,109889,BR,-23.2070217,-45.8612175
91993116,sirris,SIRRIS,grid.423712.1,http://en.wikipedia.org/wiki/SIRRIS,137,137,1020,BE,50.85107,4.401868
111575329,bharathiar university,Bharathiar University,grid.411677.2,http://en.wikipedia.org/wiki/Bharathiar_University,7831,7763,94958,IN,11.0397692,76.8788147
128193699,slovak university of agriculture,Slovak University of Agriculture,grid.15227.33,http://en.wikipedia.org/wiki/Slovak_University_of_Agriculture,2262,2254,11194,SK,48.31472,18.0875
134586953,defence medical services,Defence Medical Services,"",http://en.wikipedia.org/wiki/Defence_Medical_Services,195,195,2308,"","",""
137377929,east sussex county council,East Sussex County Council,"",http://en.wikipedia.org/wiki/East_Sussex_County_Council,2296,2278,33741,GB,50.87254,1.7E-4
138211613,austrian academy of sciences,Austrian Academy of Sciences,grid.4299.6,http://en.wikipedia.org/wiki/Austrian_Academy_of_Sciences,12990,12536,446271,AT,48.20872,16.37739
141988045,saint leo university,Saint Leo University,grid.262960.9,http://en.wikipedia.org/wiki/Saint_Leo_University,431,427,2268,US,28.3381042,-82.25697
142471025,baker idi heart and diabetes institute,Baker IDI Heart and Diabetes Institute,grid.1051.5,http://en.wikipedia.org/wiki/Baker_IDI_Heart_and_Diabetes_Institute,3248,3197,118724,AU,-37.84583,144.983337
145608581,university of miami,University of Miami,grid.26790.3a,http://en.wikipedia.org/wiki/University_of_Miami,98251,97302,2949426,US,25.7216434,-80.27927
149581226,hawaii pacific university,Hawaii Pacific University,grid.256872.c,http://en.wikipedia.org/wiki/Hawaii_Pacific_University,683,676,10122,US,21.311,-157.859
157417397,bowling green state university,Bowling Green State University,grid.253248.a,http://en.wikipedia.org/wiki/Bowling_Green_State_University,16804,16699,337701,US,41.38,-83.64
161103922,university of marburg,University of Marburg,grid.10253.35,http://en.wikipedia.org/wiki/University_of_Marburg,28558,27976,741336,DE,50.81083,8.77361
163605200,osaka shoin women s university,Osaka Shoin Women's University,grid.444597.f,http://en.wikipedia.org/wiki/Osaka_Shoin_Women's_University,184,183,832,JP,34.6631,135.5775
169541294,flinders university,Flinders University,grid.1014.4,http://en.wikipedia.org/wiki/Flinders_University,31063,30747,653544,AU,-35.02082,138.572754
